бл_стательный | территория
разр_дить | разрядить
м_теж | мятеж
ун_верситет | университет
ум_лительно | умилительно
зап_тевать | запотевать
к_ллекция | коллекция
др_бить | дробить
г_рделивый | коричневый
ск_сить | обмокнуть
р_птать | роптать
заг_релый | пловчиха
утр_мбовать | утрамбовать
р_стение | размешать
инт_ллигент | свила
приж_мать | прижимать
кл_ссический | классический
во_бражать | воображать
п_рашют | вакцина
соб_рать | героический
тр_вога | тревога
неув_дающая | неувядающая
кол_бание | колебание
р_внинный | продолжение
г_рячий | абонемент
к_нфорка | конфорка
предпол_гать | предполагать
огр_ждать | ограждать
г_рмония | громадный
налогообл_жение | трафарет
п_лемичный | полемичный
пр_вительство | блестеть
б_реговой | береговой
акв_марин | мажор
к_тастрофа | спокойный
оз_рной | озерной
заб_рать | подметать
вол_йбол | извиниться
вп_чатление | впечатление
в_ртуальный | виртуальный
обж_ра | обжора
бесш_вные | жонглёр
пок_сившийся | укрепление
соч_тание | колдун
г_ремыка | демократ
ун_кальный | уникальный
нам_чить | намочить
пор_вну | насекомые
пон_мать | умирать
ст_лист | стилист
поб_дить | победить
ш_ренга | шеренга
пл_вучий | престиж
осл_пительно | ослепительно
выр_сла | претворить
игн_рировать | игнорировать
ар_матный | ароматный
п_лезный | полезный
г_рмон | задрежать
к_лоссальный | колоссальный
